candidate,day,tweet_count,retweet_count,like_count,reply_count
dupont_aignan,2022-02-25,13,624,1843,282
dupont_aignan,2022-02-26,19,1051,2666,290
dupont_aignan,2022-02-27,6,611,1726,127
dupont_aignan,2022-02-28,14,2785,6634,751
dupont_aignan,2022-03-01,22,2816,12318,1219
dupont_aignan,2022-03-02,20,1907,7050,575
dupont_aignan,2022-03-03,29,7829,21257,1558
dupont_aignan,2022-03-04,8,1159,2637,268
dupont_aignan,2022-03-05,12,4136,6766,874
dupont_aignan,2022-03-06,20,1696,5285,474
dupont_aignan,2022-03-07,11,1235,3459,387
dupont_aignan,2022-03-08,11,1248,3564,428
dupont_aignan,2022-03-09,27,6314,15445,666
dupont_aignan,2022-03-10,16,2072,7126,537
dupont_aignan,2022-03-11,11,1954,4334,222
dupont_aignan,2022-03-12,21,4061,10760,661
dupont_aignan,2022-03-13,14,1120,2885,249
hidalgo,2022-01-03,30,5019,15611,1437
hidalgo,2022-01-04,41,3014,7392,1369
hidalgo,2022-01-05,23,886,2618,507
hidalgo,2022-01-06,45,1861,5231,968
hidalgo,2022-01-07,50,2738,8640,917
hidalgo,2022-01-08,47,1853,5999,946
hidalgo,2022-01-09,76,4390,12447,1997
hidalgo,2022-01-10,28,1703,4087,771
hidalgo,2022-01-11,49,2236,6208,1024
hidalgo,2022-01-12,65,2872,8347,1979
hidalgo,2022-01-13,165,9340,23670,4711
hidalgo,2022-01-14,61,3994,11012,1291
hidalgo,2022-01-15,57,2775,8195,1538
hidalgo,2022-01-16,67,2391,6046,1344
hidalgo,2022-01-17,46,2059,5794,1133
hidalgo,2022-01-18,67,3326,8065,1643
hidalgo,2022-01-19,34,2402,6942,845
hidalgo,2022-01-20,76,3059,8728,1561
hidalgo,2022-01-21,54,1866,5935,1054
hidalgo,2022-01-22,183,10697,28667,4184
hidalgo,2022-01-23,55,2951,8262,1041
hidalgo,2022-01-24,67,3144,9296,1205
hidalgo,2022-01-25,72,3663,9525,2128
hidalgo,2022-01-26,72,3199,8393,1287
hidalgo,2022-01-27,82,3288,9717,2124
hidalgo,2022-01-28,68,3885,10181,1206
hidalgo,2022-01-29,76,3875,11764,1827
hidalgo,2022-01-30,103,5956,16863,2398
hidalgo,2022-01-31,95,3535,11598,2801
hidalgo,2022-02-01,61,2334,6215,1159
hidalgo,2022-02-02,80,4264,12123,1378
hidalgo,2022-02-03,56,1911,5047,1372
hidalgo,2022-02-04,74,2714,8313,1696
hidalgo,2022-02-05,66,2739,7404,1206
hidalgo,2022-02-06,78,3354,9953,1820
hidalgo,2022-02-07,45,1509,4017,691
hidalgo,2022-02-08,79,2999,9094,2871
hidalgo,2022-02-09,90,4716,13779,2480
hidalgo,2022-02-10,63,2865,7587,958
hidalgo,2022-02-11,39,1803,4634,739
hidalgo,2022-02-12,62,2111,6093,1015
hidalgo,2022-02-13,67,3034,9047,1207
hidalgo,2022-02-14,56,2115,6016,817
hidalgo,2022-02-15,64,3733,10059,1546
hidalgo,2022-02-16,70,3644,9344,2289
hidalgo,2022-02-17,79,3331,9357,2149
hidalgo,2022-02-18,47,2297,6853,946
hidalgo,2022-02-19,82,3538,9306,1541
hidalgo,2022-02-20,79,3749,9703,3387
hidalgo,2022-02-21,72,3393,9043,1823
hidalgo,2022-02-22,76,3023,8581,2269
hidalgo,2022-02-23,109,6931,21143,3735
hidalgo,2022-02-24,37,7689,23237,1283
hidalgo,2022-02-25,42,2604,7406,1055
hidalgo,2022-02-26,101,5991,16275,2225
hidalgo,2022-02-27,58,3532,12237,1982
hidalgo,2022-02-28,79,5584,14460,1977
hidalgo,2022-03-01,119,6704,23476,4407
hidalgo,2022-03-02,151,7014,21101,5107
hidalgo,2022-03-03,58,2845,7813,1393
hidalgo,2022-03-04,50,1959,5372,674
hidalgo,2022-03-05,57,2862,8005,1732
hidalgo,2022-03-06,51,2044,5613,584
hidalgo,2022-03-07,62,3317,7042,1254
hidalgo,2022-03-08,62,3594,9764,1326
hidalgo,2022-03-09,58,2529,6339,1297
hidalgo,2022-03-10,90,4843,13589,2936
hidalgo,2022-03-11,162,7919,20748,5044
hidalgo,2022-03-12,86,4215,12642,1504
hidalgo,2022-03-13,97,7969,24291,1779
jadot,2022-01-03,22,1038,2521,195
jadot,2022-01-04,48,2973,8936,1671
jadot,2022-01-05,58,1907,5241,608
jadot,2022-01-06,28,1538,3810,744
jadot,2022-01-07,31,1832,5262,588
jadot,2022-01-08,37,1620,4454,684
jadot,2022-01-09,79,3990,9824,1445
jadot,2022-01-10,34,2051,5763,725
jadot,2022-01-11,70,2127,6985,521
