candidate,day,tweet_count,retweet_count,like_count,reply_count
hidalgo,2022-02-11,2,499,1203,94
hidalgo,2022-02-12,1,160,392,130
hidalgo,2022-02-13,3,936,2686,510
hidalgo,2022-02-15,7,1821,4596,564
hidalgo,2022-02-16,4,1039,2148,314
hidalgo,2022-02-17,4,881,2277,595
hidalgo,2022-02-18,1,427,1857,126
hidalgo,2022-02-19,4,888,2192,238
hidalgo,2022-02-20,7,1722,3828,1880
hidalgo,2022-02-21,2,441,1205,246
hidalgo,2022-02-22,3,681,2361,882
hidalgo,2022-02-23,9,2746,7696,2564
hidalgo,2022-02-24,5,6420,19946,1007
hidalgo,2022-02-25,6,1094,3302,589
hidalgo,2022-02-26,11,2530,7015,687
hidalgo,2022-02-27,4,1583,5112,1264
hidalgo,2022-02-28,6,2065,4425,888
hidalgo,2022-03-01,8,2209,6067,1922
hidalgo,2022-03-02,7,1577,3492,2629
hidalgo,2022-03-03,4,995,2665,720
hidalgo,2022-03-04,2,390,1076,58
hidalgo,2022-03-05,7,1251,3370,949
hidalgo,2022-03-07,6,1405,2938,730
hidalgo,2022-03-08,6,1409,4158,646
hidalgo,2022-03-09,4,634,1768,97
hidalgo,2022-03-10,8,1889,6053,1050
hidalgo,2022-03-11,18,3160,7540,3028
hidalgo,2022-03-12,11,2181,6855,485
hidalgo,2022-03-13,11,5472,16975,756
jadot,2022-01-03,1,241,676,62
jadot,2022-01-04,5,1146,4212,869
jadot,2022-01-05,1,190,644,115
jadot,2022-01-06,2,396,1072,307
jadot,2022-01-07,4,635,1924,207
jadot,2022-01-08,3,484,1265,403
jadot,2022-01-09,2,394,848,110
jadot,2022-01-10,3,1013,3089,524
jadot,2022-01-11,2,357,916,116
jadot,2022-01-12,3,1003,3309,400
jadot,2022-01-13,1,170,414,56
jadot,2022-01-14,2,397,741,100
jadot,2022-01-16,7,1395,3882,996
jadot,2022-01-17,2,555,1706,266
jadot,2022-01-18,2,300,942,116
jadot,2022-01-19,24,6968,24491,2824
jadot,2022-01-20,5,1136,2999,191
jadot,2022-01-21,1,257,714,56
jadot,2022-01-22,1,581,1867,42
jadot,2022-01-23,4,1368,3524,282
jadot,2022-01-24,1,219,452,29
jadot,2022-01-25,5,1016,2449,281
jadot,2022-01-26,4,1026,2642,300
jadot,2022-01-27,3,773,1854,228
jadot,2022-01-28,10,2385,8927,1485
jadot,2022-01-29,12,2780,6417,696
jadot,2022-01-30,8,1469,3362,341
jadot,2022-01-31,2,805,2980,327
jadot,2022-02-01,2,342,775,37
jadot,2022-02-02,2,547,1182,194
jadot,2022-02-03,1,213,652,0
jadot,2022-02-04,3,657,1961,97
jadot,2022-02-05,1,181,480,20
jadot,2022-02-06,3,616,1753,150
jadot,2022-02-07,2,335,590,58
jadot,2022-02-08,2,486,998,96
jadot,2022-02-09,2,678,1554,187
jadot,2022-02-10,7,1441,3427,813
jadot,2022-02-11,4,934,2858,904
jadot,2022-02-12,1,182,472,96
jadot,2022-02-13,8,4123,11713,3118
jadot,2022-02-14,11,7780,28918,1633
jadot,2022-02-15,12,3858,11802,1891
jadot,2022-02-16,4,1708,5045,495
jadot,2022-02-17,19,4335,10439,1053
jadot,2022-02-18,2,587,1672,149
jadot,2022-02-19,3,1200,3268,321
jadot,2022-02-20,1,369,1824,219
jadot,2022-02-21,4,1400,2963,349
jadot,2022-02-22,8,1695,4847,1483
jadot,2022-02-23,5,1117,2816,395
jadot,2022-02-24,16,5680,15225,1648
jadot,2022-02-25,8,2297,6574,824
jadot,2022-02-26,5,2151,5436,416
jadot,2022-02-27,6,2710,6301,307
jadot,2022-02-28,6,1380,2894,310
jadot,2022-03-01,4,823,1792,168
jadot,2022-03-02,3,512,1028,31
jadot,2022-03-03,3,588,2364,139
jadot,2022-03-04,4,937,2821,848
jadot,2022-03-05,6,1708,5363,389
jadot,2022-03-06,2,637,1723,178
jadot,2022-03-07,11,2439,5147,401
jadot,2022-03-08,7,1080,2508,283
jadot,2022-03-09,4,546,1254,180
jadot,2022-03-10,7,2050,6789,495
jadot,2022-03-11,10,3640,13469,2369
jadot,2022-03-12,5,875,1740,198
jadot,2022-03-13,8,3806,10707,406
lassale,2022-01-03,1,725,3228,182
lassale,2022-01-06,1,333,1497,103
lassale,2022-01-07,1,205,596,54
lassale,2022-01-13,1,1625,6886,239
lassale,2022-01-21,1,1225,4534,175
lassale,2022-02-09,1,507,1499,64
lassale,2022-02-16,1,990,2566,259
lassale,2022-02-17,1,562,1464,88
lassale,2022-02-26,1,252,744,58
lassale,2022-02-27,2,5668,23763,366
lassale,2022-03-07,3,9837,26962,1296
lassale,2022-03-08,1,239,902,57
lassale,2022-03-09,2,7191,53294,488
lassale,2022-03-10,3,422,1798,62
