Nombres de documents,candidat,start_date,end_date,year
330,roussel,2022-02-14,2022-02-20,2022
456,roussel,2022-02-21,2022-02-27,2022
211,roussel,2022-02-28,2022-03-06,2022
358,roussel,2022-03-07,2022-03-13,2022
59,roussel,2022-03-14,2022-03-20,2022
289,zemmour,2022-01-03,2022-01-09,2022
509,zemmour,2022-01-10,2022-01-16,2022
789,zemmour,2022-01-17,2022-01-23,2022
546,zemmour,2022-01-24,2022-01-30,2022
674,zemmour,2022-01-31,2022-02-06,2022
543,zemmour,2022-02-07,2022-02-13,2022
798,zemmour,2022-02-14,2022-02-20,2022
589,zemmour,2022-02-21,2022-02-27,2022
543,zemmour,2022-02-28,2022-03-06,2022
637,zemmour,2022-03-07,2022-03-13,2022
50,zemmour,2022-03-14,2022-03-20,2022
